Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
19-Aug-05,50,53.75,49.5,52.6,51.27377812,52685,76,2701359,52685,100,4.25,2.6,-0.056603774,35.68939394,0.014150943,36.48636364,0.00814664,34.64242424,0.022351798,35.85454545,1
22-Aug-05,51.5,55.2,51.5,54.75,54.1408809,109660,111,5937089,109660,100,3.7,3.25,0.03,36.15441176,0.026976744,37.03676471,0.04040404,35.13823529,0.040874525,36.41029412,1
23-Aug-05,54,57.1,53,56.05,54.65715909,77447,138,4233033,77447,100,4.1,2.05,0.048543689,36.66428571,0.03442029,37.61,0.029126214,35.64857143,0.023744292,36.97142857,1
24-Aug-05,58.5,58.5,54,55,55.38475785,14578,70,807399,14578,100,4.5,-3.5,0.083333333,37.27083333,0.024518389,38.19027778,0.018867925,36.15833333,-0.018733274,37.47222222,1
25-Aug-05,56,56.95,54,55.6,56.41215265,47611,74,2685839,47611,100,2.95,-0.4,-0.042735043,37.77702703,-0.026495726,38.6972973,0,36.64054054,0.010909091,37.96216216,1
26-Aug-05,55,56.9,53,55.95,55.6904534,91928,83,5119512,91928,100,3.9,0.95,-0.017857143,38.23026316,-0.000877963,39.17631579,-0.018518519,37.07105263,0.006294964,38.43552632,1
29-Aug-05,55.1,56.95,53.2,54.45,54.91129014,44809,71,2460520,44809,100,3.75,-0.65,0.001818182,38.66282051,0.000878735,39.63205128,0.003773585,37.48461538,-0.026809651,38.84615385,1
30-Aug-05,56.75,56.85,52,55.3,55.21708049,78616,86,4340946,78616,100,4.85,-1.45,0.029945554,39.115,-0.001755926,40.0625,-0.022556391,37.8475,0.015610652,39.2575,1
31-Aug-05,55,56.85,53.6,54.75,54.11755219,56426,78,3053637,56426,100,3.25,-0.25,-0.030837004,39.50243902,0,40.47195122,0.030769231,38.23170732,-0.00994575,39.63536585,1
01-Sep-05,55.5,56.85,53.1,54.6,54.83697789,90546,120,4965269,90546,100,3.75,-0.9,0.009090909,39.88333333,0,40.86190476,-0.009328358,38.58571429,-0.002739726,39.99166667,1
02-Sep-05,57.3,57.3,52.5,54,54.98124672,66655,176,3664775,66655,100,4.8,-3.3,0.032432432,40.28837209,0.007915567,41.24418605,-0.011299435,38.90930233,-0.010989011,40.31744186,1
05-Sep-05,56.7,56.7,55.5,56.5,56.59346094,174490,141,9874993,174490,100,1.2,-0.2,-0.010471204,40.66136364,-0.010471204,41.59545455,0.057142857,39.28636364,0.046296296,40.68522727,1
06-Sep-05,58.7,59.3,58,58.6,58.94028735,77605,165,4574061,77605,100,1.3,-0.1,0.035273369,41.06222222,0.045855379,41.98888889,0.045045045,39.70222222,0.037168142,41.08333333,1
08-Sep-05,59,61.5,59,61.45,60.73785844,210249,313,12770074,210249,100,2.5,2.45,0.005110733,41.45217391,0.037099494,42.41304348,0.017241379,40.12173913,0.048634812,41.52608696,1
09-Sep-05,63.5,64.5,59,61.4,60.90364412,146208,235,8904600,146208,100,5.5,-2.1,0.076271186,41.9212766,0.048780488,42.88297872,0,40.52340426,-0.00081367,41.94893617,1
12-Sep-05,64.45,64.45,60.9,62.45,61.69802302,190594,229,11759273,190594,100,3.55,-2,0.01496063,42.390625,-0.000775194,43.33229167,0.03220339,40.94791667,0.017100977,42.37604167,1
13-Sep-05,65.55,65.55,60,61.55,63.18100422,148991,312,9413401,148991,100,5.55,-4,0.017067494,42.86326531,0.017067494,43.78571429,-0.014778325,41.33673469,-0.014411529,42.76734694,1
14-Sep-05,64.1,64.1,60,60.3,62.04897743,154561,217,9590352,154561,100,4.1,-3.8,0,64.1,0,64.1,0,60,0,60.3,0
15-Sep-05,63,63,60,61.55,61.40076,132895,166,8159854,132895,100,3,-1.45,-0.017160686,63.55,-0.017160686,63.55,0,60,0.020729685,60.925,0
16-Sep-05,63,63,61.1,62.15,62.24226405,121446,186,7559074,121446,100,1.9,-0.85,0,63.36666667,0,63.36666667,0.018333333,60.36666667,0.009748172,61.33333333,0
19-Sep-05,63.5,65.25,61.9,65.15,63.83185796,337429,325,21538720,337429,100,3.35,1.65,0.007936508,63.4,0.035714286,63.8375,0.01309329,60.75,0.048270314,62.2875,0
20-Sep-05,66,66,61.9,63.85,63.3065057,141645,253,8967050,141645,100,4.1,-2.15,0.039370079,63.92,0.011494253,64.27,0,60.98,-0.019953952,62.6,0
21-Sep-05,64,64,60.7,61.7,61.00564579,110879,194,6764245,110879,100,3.3,-2.3,-0.03030303,63.93333333,-0.03030303,64.225,-0.019386107,60.93333333,-0.03367267,62.45,0
22-Sep-05,62.8,62.8,58.65,58.65,58.6599472,4167,12,244436,4167,100,4.15,-4.15,-0.01875,63.77142857,-0.01875,64.02142857,-0.033772652,60.60714286,-0.049432739,61.90714286,0
23-Sep-05,55.75,55.75,55.75,55.75,55.75,41800,47,2330350,41800,100,0,0,-0.112261146,62.76875,-0.112261146,62.9875,-0.049445865,60,-0.049445865,61.1375,0
26-Sep-05,53,55.5,53,53.05,53.12374194,15500,70,823418,15500,100,2.5,0.05,-0.049327354,61.68333333,-0.004484305,62.15555556,-0.049327354,59.22222222,-0.048430493,60.23888889,0
27-Sep-05,50.4,55.25,50.4,50.45,51.78552932,111605,203,5779524,111605,100,4.85,0.05,-0.049056604,60.555,-0.004504505,61.465,-0.049056604,58.34,-0.049010368,59.26,0
28-Sep-05,52.5,52.95,47.95,50.7,51.3972875,59871,130,3077207,59871,100,5,-1.8,0.041666667,59.82272727,-0.041628959,60.69090909,-0.048611111,57.39545455,0.004955401,58.48181818,0
29-Sep-05,48.2,48.2,48.2,48.2,48.2,2300,6,110860,2300,100,0,0,-0.081904762,58.85416667,-0.089707271,59.65,0.005213764,56.62916667,-0.049309665,57.625,0
30-Sep-05,45.8,50.6,45.8,49.05,45.9753278,93425,138,4295245,93425,100,4.8,3.25,-0.049792531,57.85,0.049792531,58.95384615,-0.049792531,55.79615385,0.017634855,56.96538462,0
03-Oct-05,50,51.5,47,51.5,50.93232,178487,168,9090757,178487,100,4.5,1.5,0.091703057,57.28928571,0.017786561,58.42142857,0.026200873,55.16785714,0.049949032,56.575,0
04-Oct-05,54,54.05,52,54.05,53.53972045,68252,160,3654193,68252,100,2.05,0.05,0.08,57.07,0.049514563,58.13,0.106382979,54.95666667,0.049514563,56.40666667,0
05-Oct-05,56,56.5,52.5,54.8,54.75724804,41425,123,2268319,41425,100,4,-1.2,0.037037037,57.003125,0.0453284,58.028125,0.009615385,54.803125,0.013876041,56.30625,0
06-Oct-05,55.45,55.45,52.1,53.95,53.93361963,24450,121,1318677,24450,100,3.35,-1.5,-0.009821429,56.91176471,-0.018584071,57.87647059,-0.007619048,54.64411765,-0.015510949,56.16764706,0
07-Oct-05,54.45,56.6,51.5,55.55,55.40462445,33950,85,1880987,33950,100,5.1,1.1,-0.018034265,56.775,0.020739405,57.80555556,-0.011516315,54.46944444,0.02965709,56.13333333,0
10-Oct-05,56.45,56.7,52.8,53.1,54.14990196,20400,69,1104658,20400,100,3.9,-3.35,0.036730946,56.75789474,0.001766784,57.74736842,0.025242718,54.38157895,-0.04410441,55.97368421,0
11-Oct-05,54.9,54.9,50.45,52.05,51.67712823,19723,50,1019228,19723,100,4.45,-2.85,-0.027457927,56.665,-0.031746032,57.605,-0.044507576,54.185,-0.019774011,55.7775,0
13-Oct-05,53.95,53.95,49.6,50,50.83093722,5495,27,279316,5495,100,4.35,-3.95,-0.017304189,56.53571429,-0.017304189,57.43095238,-0.016848365,53.96666667,-0.039385207,55.50238095,0
14-Oct-05,51.95,51.95,47.55,48.75,48.75748031,1270,15,61922,1270,100,4.4,-3.2,-0.037071362,56.32727273,-0.037071362,57.18181818,-0.041330645,53.675,-0.025,55.19545455,0
17-Oct-05,50,50,46.35,46.35,47.53,2000,15,95060,2000,100,3.65,-3.65,-0.037536092,56.05217391,-0.037536092,56.86956522,-0.025236593,53.35652174,-0.049230769,54.81086957,0
18-Oct-05,44.05,48.65,44.05,48.65,47.47923019,20005,52,949822,20005,100,4.6,4.6,-0.119,55.55208333,-0.027,56.52708333,-0.049622438,52.96875,0.049622438,54.55416667,0
19-Oct-05,48.65,48.65,46.25,46.25,48.33333333,900,3,43500,900,100,2.4,-2.4,0.104426788,55.276,0,56.212,0.049943246,52.7,-0.049331963,54.222,0
